path	first_code_line	exports_sample
bridge/initReplBridge.ts	import { feature } from 'bun:bundle'	InitBridgeOptions, initReplBridge
bridge/jwtUtils.ts	import { logEvent } from '../services/analytics/index.js'	decodeJwtPayload, decodeJwtExpiry, createTokenRefreshScheduler
bridge/pollConfig.ts	import { z } from 'zod/v4'	getPollIntervalConfig
bridge/pollConfigDefaults.ts	const POLL_INTERVAL_MS_NOT_AT_CAPACITY = 2000	PollIntervalConfig, DEFAULT_POLL_CONFIG
bridge/remoteBridgeCore.ts		EnvLessBridgeParams, initEnvLessBridgeCore
bridge/replBridge.ts	import { randomUUID } from 'crypto'	ReplBridgeHandle, BridgeState, BridgeCoreParams
bridge/replBridgeHandle.ts	import { updateSessionBridgeId } from '../utils/concurrentSessions.js'	setReplBridgeHandle, getReplBridgeHandle, getSelfBridgeCompatId
bridge/replBridgeTransport.ts	import type { StdoutMessage } from 'src/entrypoints/sdk/controlTypes.js'	ReplBridgeTransport, createV1ReplTransport, createV2ReplTransport
bridge/sessionIdCompat.ts	let _isCseShimEnabled: (() => boolean) | undefined	setCseShimGate, toCompatSessionId, toInfraSessionId
bridge/sessionRunner.ts	import { type ChildProcess, spawn } from 'child_process'	safeFilenameId, PermissionRequest, createSessionSpawner
bridge/trustedDevice.ts	import axios from 'axios'	getTrustedDeviceToken, clearTrustedDeviceTokenCache, clearTrustedDeviceToken, enrollTrustedDevice
bridge/types.ts	export const DEFAULT_SESSION_TIMEOUT_MS = 24 * 60 * 60 * 1000	DEFAULT_SESSION_TIMEOUT_MS, BRIDGE_LOGIN_INSTRUCTION, BRIDGE_LOGIN_ERROR, REMOTE_CONTROL_DISCONNECTED_MSG, WorkData, WorkResponse, WorkSecret, SessionDoneStatus (+11)
bridge/workSecret.ts	import axios from 'axios'	decodeWorkSecret, buildSdkUrl, sameSessionId, buildCCRv2SdkUrl, registerWorker
buddy/CompanionSprite.tsx	import { c as _c } from "react/compiler-runtime";	MIN_COLS_FOR_FULL_SPRITE, companionReservedColumns, CompanionSprite
buddy/companion.ts	import { getGlobalConfig } from '../utils/config.js'	Roll, roll, rollWithSeed, companionUserId, getCompanion
buddy/prompt.ts	import { feature } from 'bun:bundle'	companionIntroText, getCompanionIntroAttachment
buddy/sprites.ts	import type { CompanionBones, Eye, Hat, Species } from './types.js'	
buddy/types.ts	export const RARITIES = [	RARITIES, Rarity, duck, goose, blob, cat, dragon, octopus (+27)
buddy/useBuddyNotification.tsx	import { c as _c } from "react/compiler-runtime";	isBuddyTeaserWindow, isBuddyLive, useBuddyNotification, findBuddyTriggerPositions
cli/exit.ts	export function cliError(msg?: string): never {	cliError, cliOk
cli/handlers/agents.ts	import {	agentsHandler
cli/handlers/auth.ts	import {	installOAuthTokens, authLogin, authStatus
cli/handlers/autoMode.ts	import { errorMessage } from '../../utils/errors.js'	autoModeDefaultsHandler, autoModeConfigHandler, autoModeCritiqueHandler
cli/handlers/mcp.tsx	import { stat } from 'fs/promises';	mcpServeHandler, mcpRemoveHandler, mcpListHandler, mcpGetHandler
cli/handlers/plugins.ts	import figures from 'figures'	VALID_INSTALLABLE_SCOPES, VALID_UPDATE_SCOPES, handleMarketplaceError, pluginValidateHandler, pluginListHandler
cli/handlers/util.tsx	import { c as _c } from "react/compiler-runtime";	setupTokenHandler, doctorHandler, installHandler
cli/ndjsonSafeStringify.ts	import { jsonStringify } from '../utils/slowOperations.js'	ndjsonSafeStringify
cli/print.ts	import { feature } from 'bun:bundle'	
cli/remoteIO.ts	import type { StdoutMessage } from 'src/entrypoints/sdk/controlTypes.js'	RemoteIO
cli/structuredIO.ts	import { feature } from 'bun:bundle'	SANDBOX_NETWORK_ACCESS_TOOL_NAME, StructuredIO
cli/transports/HybridTransport.ts	import axios, { type AxiosError } from 'axios'	HybridTransport
cli/transports/SSETransport.ts	import axios, { type AxiosError } from 'axios'	parseSSEFrames, StreamClientEvent, SSETransport
cli/transports/SerialBatchEventUploader.ts	import { jsonStringify } from '../../utils/slowOperations.js'	RetryableError, SerialBatchEventUploader
cli/transports/WebSocketTransport.ts	import type { StdoutMessage } from 'src/entrypoints/sdk/controlTypes.js'	WebSocketTransportOptions, WebSocketTransport
cli/transports/WorkerStateUploader.ts	import { sleep } from '../../utils/sleep.js'	WorkerStateUploader
cli/transports/ccrClient.ts	import { randomUUID } from 'crypto'	CCRInitFailReason, CCRInitError, StreamAccumulatorState, createStreamAccumulator, accumulateStreamEvents, clearStreamAccumulatorForMessage, InternalEvent
cli/transports/transportUtils.ts	import { URL } from 'url'	getTransportForUrl
cli/update.ts	import chalk from 'chalk'	update
commands.ts	import addDir from './commands/add-dir/index.js'	
commands/add-dir/add-dir.tsx	import { c as _c } from "react/compiler-runtime";	call
commands/add-dir/index.ts	import type { Command } from '../../commands.js'	
commands/add-dir/validation.ts	import chalk from 'chalk'	AddDirectoryResult, validateDirectoryForWorkspace, addDirHelpMessage
commands/advisor.ts	import type { Command } from '../commands.js'	
commands/agents/agents.tsx	import * as React from 'react';	call
commands/agents/index.ts	import type { Command } from '../../commands.js'	
commands/ant-trace/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/autofix-pr/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/backfill-sessions/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/branch/branch.ts	import { randomUUID, type UUID } from 'crypto'	deriveFirstPrompt, call
commands/branch/index.ts	import { feature } from 'bun:bundle'	
commands/break-cache/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/bridge-kick.ts	import { getBridgeDebugHandle } from '../bridge/bridgeDebug.js'	
commands/bridge/bridge.tsx	import { c as _c } from "react/compiler-runtime";	
commands/bridge/index.ts	import { feature } from 'bun:bundle'	
commands/brief.ts	import { feature } from 'bun:bundle'	
commands/btw/btw.tsx	import { c as _c } from "react/compiler-runtime";	call
commands/btw/index.ts	import type { Command } from '../../commands.js'	
commands/bughunter/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/chrome/chrome.tsx	import { c as _c } from "react/compiler-runtime";	
commands/chrome/index.ts	import { getIsNonInteractiveSession } from '../../bootstrap/state.js'	
commands/clear/caches.ts	import { feature } from 'bun:bundle'	clearSessionCaches
commands/clear/clear.ts	import type { LocalCommandCall } from '../../types/command.js'	call
commands/clear/conversation.ts	import { feature } from 'bun:bundle'	clearConversation
commands/clear/index.ts	import type { Command } from '../../commands.js'	
commands/color/color.ts	import type { UUID } from 'crypto'	call
commands/color/index.ts	import type { Command } from '../../commands.js'	
commands/commit-push-pr.ts	import type { Command } from '../commands.js'	
commands/commit.ts	import type { Command } from '../commands.js'	
commands/compact/compact.ts	import { feature } from 'bun:bundle'	call
commands/compact/index.ts	import type { Command } from '../../commands.js'	
commands/config/config.tsx	import * as React from 'react';	call
commands/config/index.ts	import type { Command } from '../../commands.js'	
commands/context/context-noninteractive.ts	import { feature } from 'bun:bundle'	collectContextData, call
commands/context/context.tsx	import { feature } from 'bun:bundle';	call
commands/context/index.ts	import { getIsNonInteractiveSession } from '../../bootstrap/state.js'	context, contextNonInteractive
commands/copy/copy.tsx	import { c as _c } from "react/compiler-runtime";	collectRecentAssistantTexts, fileExtension
commands/copy/index.ts	import type { Command } from '../../commands.js'	
commands/cost/cost.ts	import { formatTotalCost } from '../../cost-tracker.js'	call
commands/cost/index.ts	import type { Command } from '../../commands.js'	
commands/createMovedToPluginCommand.ts	import type { ContentBlockParam } from '@anthropic-ai/sdk/resources/messages.js'	createMovedToPluginCommand
commands/ctx_viz/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/debug-tool-call/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/desktop/desktop.tsx	import React from 'react';	call
commands/desktop/index.ts	import type { Command } from '../../commands.js'	
commands/diff/diff.tsx	import * as React from 'react';	call
commands/diff/index.ts	import type { Command } from '../../commands.js'	
commands/doctor/doctor.tsx	import React from 'react';	call
commands/doctor/index.ts	import type { Command } from '../../commands.js'	
commands/effort/effort.tsx	import { c as _c } from "react/compiler-runtime";	showCurrentEffort, executeEffort, call
commands/effort/index.ts	import type { Command } from '../../commands.js'	
commands/env/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/exit/exit.tsx	import { feature } from 'bun:bundle';	call
commands/exit/index.ts	import type { Command } from '../../commands.js'	
commands/export/export.tsx	import { join } from 'path';	extractFirstPrompt, sanitizeFilename, call
commands/export/index.ts	import type { Command } from '../../commands.js'	
commands/extra-usage/extra-usage-core.ts	import {	runExtraUsage
commands/extra-usage/extra-usage-noninteractive.ts	import { runExtraUsage } from './extra-usage-core.js'	call
commands/extra-usage/extra-usage.tsx	import React from 'react';	call
commands/extra-usage/index.ts	import { getIsNonInteractiveSession } from '../../bootstrap/state.js'	extraUsage, extraUsageNonInteractive
commands/fast/fast.tsx	import { c as _c } from "react/compiler-runtime";	FastModePicker
commands/fast/index.ts	import type { Command } from '../../commands.js'	
commands/feedback/feedback.tsx	import * as React from 'react';	renderFeedbackComponent, call
commands/feedback/index.ts	import type { Command } from '../../commands.js'	
commands/files/files.ts	import { relative } from 'path'	call
commands/files/index.ts	import type { Command } from '../../commands.js'	
commands/good-claude/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/heapdump/heapdump.ts	import { performHeapDump } from '../../utils/heapDumpService.js'	call
commands/heapdump/index.ts	import type { Command } from '../../commands.js'	
commands/help/help.tsx	import * as React from 'react';	call
commands/help/index.ts	import type { Command } from '../../commands.js'	
commands/hooks/hooks.tsx	import * as React from 'react';	call
commands/hooks/index.ts	import type { Command } from '../../commands.js'	
commands/ide/ide.tsx	import { c as _c } from "react/compiler-runtime";	
commands/ide/index.ts	import type { Command } from '../../commands.js'	
commands/init-verifiers.ts	import type { Command } from '../commands.js'	
commands/init.ts	import { feature } from 'bun:bundle'	
commands/insights.ts	import { execFileSync } from 'child_process'	
commands/install-github-app/ApiKeyStep.tsx	import { c as _c } from "react/compiler-runtime";	ApiKeyStep
commands/install-github-app/CheckExistingSecretStep.tsx	import { c as _c } from "react/compiler-runtime";	CheckExistingSecretStep
commands/install-github-app/CheckGitHubStep.tsx	import { c as _c } from "react/compiler-runtime";	CheckGitHubStep
commands/install-github-app/ChooseRepoStep.tsx	import { c as _c } from "react/compiler-runtime";	ChooseRepoStep
commands/install-github-app/CreatingStep.tsx	import { c as _c } from "react/compiler-runtime";	CreatingStep
commands/install-github-app/ErrorStep.tsx	import { c as _c } from "react/compiler-runtime";	ErrorStep
commands/install-github-app/ExistingWorkflowStep.tsx	import { c as _c } from "react/compiler-runtime";	ExistingWorkflowStep
commands/install-github-app/InstallAppStep.tsx	import { c as _c } from "react/compiler-runtime";	InstallAppStep
commands/install-github-app/OAuthFlowStep.tsx	import React, { useCallback, useEffect, useRef, useState } from 'react';	OAuthFlowStep
commands/install-github-app/SuccessStep.tsx	import { c as _c } from "react/compiler-runtime";	SuccessStep
commands/install-github-app/WarningsStep.tsx	import { c as _c } from "react/compiler-runtime";	WarningsStep
commands/install-github-app/index.ts	import type { Command } from '../../commands.js'	
commands/install-github-app/install-github-app.tsx	import { execa } from 'execa';	
commands/install-github-app/setupGitHubActions.ts	import {	setupGitHubActions
commands/install-slack-app/index.ts	import type { Command } from '../../commands.js'	
commands/install-slack-app/install-slack-app.ts	import type { LocalCommandResult } from '../../commands.js'	call
commands/install.tsx	import { c as _c } from "react/compiler-runtime";	
commands/issue/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/keybindings/index.ts	import type { Command } from '../../commands.js'	
commands/keybindings/keybindings.ts	import { mkdir, writeFile } from 'fs/promises'	call
commands/login/index.ts	import type { Command } from '../../commands.js'	
commands/login/login.tsx	import { c as _c } from "react/compiler-runtime";	call, Login
commands/logout/index.ts	import type { Command } from '../../commands.js'	
commands/logout/logout.tsx	import * as React from 'react';	performLogout, clearAuthRelatedCaches, call
commands/mcp/addCommand.ts	import { type Command, Option } from '@commander-js/extra-typings'	registerMcpAddCommand
commands/mcp/index.ts	import type { Command } from '../../commands.js'	
commands/mcp/mcp.tsx	import { c as _c } from "react/compiler-runtime";	call
commands/mcp/xaaIdpCommand.ts	import type { Command } from '@commander-js/extra-typings'	registerMcpXaaIdpCommand
commands/memory/index.ts	import type { Command } from '../../commands.js'	
commands/memory/memory.tsx	import { mkdir, writeFile } from 'fs/promises';	call
commands/mobile/index.ts	import type { Command } from '../../commands.js'	
commands/mobile/mobile.tsx	import { c as _c } from "react/compiler-runtime";	call
commands/mock-limits/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/model/index.ts	import type { Command } from '../../commands.js'	
commands/model/model.tsx	import { c as _c } from "react/compiler-runtime";	
commands/oauth-refresh/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/onboarding/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/output-style/index.ts	import type { Command } from '../../commands.js'	
commands/output-style/output-style.tsx	import type { LocalJSXCommandOnDone } from '../../types/command.js';	call
commands/passes/index.ts	import type { Command } from '../../commands.js'	
commands/passes/passes.tsx	import * as React from 'react';	call
commands/perf-issue/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/permissions/index.ts	import type { Command } from '../../commands.js'	
commands/permissions/permissions.tsx	import * as React from 'react';	call
commands/plan/index.ts	import type { Command } from '../../commands.js'	
commands/plan/plan.tsx	import { c as _c } from "react/compiler-runtime";	call
commands/plugin/AddMarketplace.tsx	import * as React from 'react';	AddMarketplace
commands/plugin/BrowseMarketplace.tsx	import figures from 'figures';	BrowseMarketplace
commands/plugin/DiscoverPlugins.tsx	import { c as _c } from "react/compiler-runtime";	DiscoverPlugins
commands/plugin/ManageMarketplaces.tsx	import { c as _c } from "react/compiler-runtime";	ManageMarketplaces
commands/plugin/ManagePlugins.tsx	import figures from 'figures';	
commands/plugin/PluginErrors.tsx	import { getPluginErrorMessage, type PluginError } from '../../types/plugin.js';	formatErrorMessage, getErrorGuidance
commands/plugin/PluginOptionsDialog.tsx	import { c as _c } from "react/compiler-runtime";	buildFinalValues, PluginOptionsDialog
commands/plugin/PluginOptionsFlow.tsx	import * as React from 'react';	findPluginOptionsTarget, PluginOptionsFlow
commands/plugin/PluginSettings.tsx	import { c as _c } from "react/compiler-runtime";	
commands/plugin/PluginTrustWarning.tsx	import { c as _c } from "react/compiler-runtime";	PluginTrustWarning
commands/plugin/UnifiedInstalledCell.tsx	import { c as _c } from "react/compiler-runtime";	UnifiedInstalledCell
commands/plugin/ValidatePlugin.tsx	import { c as _c } from "react/compiler-runtime";	ValidatePlugin
commands/plugin/index.tsx	import type { Command } from '../../commands.js';	
commands/plugin/parseArgs.ts	export type ParsedCommand =	ParsedCommand, parsePluginArgs
commands/plugin/plugin.tsx	import * as React from 'react';	call
commands/plugin/pluginDetailsHelpers.tsx	import { c as _c } from "react/compiler-runtime";	InstallablePlugin, PluginDetailsMenuOption, extractGitHubRepo, buildPluginDetailsMenuOptions, PluginSelectionKeyHint
commands/plugin/usePagination.ts	import { useCallback, useMemo, useRef } from 'react'	usePagination
commands/pr_comments/index.ts	import { createMovedToPluginCommand } from '../createMovedToPluginCommand.js'	
commands/privacy-settings/index.ts	import type { Command } from '../../commands.js'	
commands/privacy-settings/privacy-settings.tsx	import * as React from 'react';	call
commands/rate-limit-options/index.ts	import type { Command } from '../../commands.js'	
commands/rate-limit-options/rate-limit-options.tsx	import { c as _c } from "react/compiler-runtime";	call
commands/release-notes/index.ts	import type { Command } from '../../commands.js'	
commands/release-notes/release-notes.ts	import type { LocalCommandResult } from '../../types/command.js'	call
commands/reload-plugins/index.ts	import type { Command } from '../../commands.js'	
commands/reload-plugins/reload-plugins.ts	import { feature } from 'bun:bundle'	call
commands/remote-env/index.ts	import type { Command } from '../../commands.js'	
commands/remote-env/remote-env.tsx	import * as React from 'react';	call
commands/remote-setup/api.ts	import axios from 'axios'	RedactedGithubToken, ImportTokenResult, ImportTokenError, importGithubToken, createDefaultEnvironment, isSignedIn, getCodeWebUrl
commands/remote-setup/index.ts	import type { Command } from '../../commands.js'	
commands/remote-setup/remote-setup.tsx	import { execa } from 'execa';	call
commands/rename/generateSessionName.ts	import { queryHaiku } from '../../services/api/claude.js'	generateSessionName
commands/rename/index.ts	import type { Command } from '../../commands.js'	
commands/rename/rename.ts	import type { UUID } from 'crypto'	call
commands/reset-limits/index.js	const stub = { isEnabled: () => false, isHidden: true, name: 'stub' };	resetLimits, resetLimitsNonInteractive
commands/resume/index.ts	import type { Command } from '../../commands.js'	
commands/resume/resume.tsx	import { c as _c } from "react/compiler-runtime";	filterResumableSessions, call
commands/review.ts	import type { ContentBlockParam } from '@anthropic-ai/sdk/resources/messages.js'	ultrareview
commands/review/UltrareviewOverageDialog.tsx	import { c as _c } from "react/compiler-runtime";	UltrareviewOverageDialog
commands/review/reviewRemote.ts	import type { ContentBlockParam } from '@anthropic-ai/sdk/resources/messages.js'	confirmOverage, OverageGate, checkOverageGate, launchRemoteReview
commands/review/ultrareviewCommand.tsx	import type { ContentBlockParam } from '@anthropic-ai/sdk/resources/messages.js';	call
commands/review/ultrareviewEnabled.ts	import { getFeatureValue_CACHED_MAY_BE_STALE } from '../../services/analytics/growthbook.js'	isUltrareviewEnabled
commands/rewind/index.ts	import type { Command } from '../../commands.js'	
commands/rewind/rewind.ts	import type { LocalCommandResult } from '../../commands.js'	call
commands/sandbox-toggle/index.ts	import figures from 'figures'	
commands/sandbox-toggle/sandbox-toggle.tsx	import { relative } from 'path';	call
commands/security-review.ts	import { parseFrontmatter } from '../utils/frontmatterParser.js'	
commands/session/index.ts	import { getIsRemoteMode } from '../../bootstrap/state.js'	
commands/session/session.tsx	import { c as _c } from "react/compiler-runtime";	call
commands/share/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/skills/index.ts	import type { Command } from '../../commands.js'	
commands/skills/skills.tsx	import * as React from 'react';	call
commands/stats/index.ts	import type { Command } from '../../commands.js'	
commands/stats/stats.tsx	import * as React from 'react';	call
commands/status/index.ts	import type { Command } from '../../commands.js'	
commands/status/status.tsx	import * as React from 'react';	call
commands/statusline.tsx	import type { ContentBlockParam } from '@anthropic-ai/sdk/resources/index.mjs';	
commands/stickers/index.ts	import type { Command } from '../../commands.js'	
commands/stickers/stickers.ts	import type { LocalCommandResult } from '../../types/command.js'	call
commands/summary/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/tag/index.ts	import type { Command } from '../../commands.js'	
commands/tag/tag.tsx	import { c as _c } from "react/compiler-runtime";	call
commands/tasks/index.ts	import type { Command } from '../../commands.js'	
commands/tasks/tasks.tsx	import * as React from 'react';	call
commands/teleport/index.js	export default { isEnabled: () => false, isHidden: true, name: 'stub' };	
commands/terminalSetup/index.ts	import type { Command } from '../../commands.js'	
commands/terminalSetup/terminalSetup.tsx	import chalk from 'chalk';	getNativeCSIuTerminalDisplayName, shouldOfferTerminalSetup, setupTerminal, isShiftEnterKeyBindingInstalled, hasUsedBackslashReturn, markBackslashReturnUsed, call
commands/theme/index.ts	import type { Command } from '../../commands.js'	
commands/theme/theme.tsx	import { c as _c } from "react/compiler-runtime";	call
commands/thinkback-play/index.ts	import type { Command } from '../../commands.js'	
commands/thinkback-play/thinkback-play.ts	import { join } from 'path'	call
commands/thinkback/index.ts	import type { Command } from '../../commands.js'	
commands/thinkback/thinkback.tsx	import { c as _c } from "react/compiler-runtime";	playAnimation
commands/ultraplan.tsx	import { readFileSync } from 'fs';	CCR_TERMS_URL, buildUltraplanPrompt
commands/upgrade/index.ts	import type { Command } from '../../commands.js'	
commands/upgrade/upgrade.tsx	import * as React from 'react';	call
commands/usage/index.ts	import type { Command } from '../../commands.js'	
commands/usage/usage.tsx	import * as React from 'react';	call
commands/version.ts	import type { Command, LocalCommandCall } from '../types/command.js'	
commands/vim/index.ts	import type { Command } from '../../commands.js'	
commands/vim/vim.ts	import {	call
commands/voice/index.ts	import type { Command } from '../../commands.js'	
commands/voice/voice.ts	import { normalizeLanguageForSTT } from '../../hooks/useVoice.js'	call
components/AgentProgressLine.tsx	import { c as _c } from "react/compiler-runtime";	AgentProgressLine
components/App.tsx	import { c as _c } from "react/compiler-runtime";	App
components/ApproveApiKey.tsx	import { c as _c } from "react/compiler-runtime";	ApproveApiKey
components/AutoModeOptInDialog.tsx	import { c as _c } from "react/compiler-runtime";	AUTO_MODE_DESCRIPTION, AutoModeOptInDialog
components/AutoUpdater.tsx	import * as React from 'react';	AutoUpdater
components/AutoUpdaterWrapper.tsx	import { c as _c } from "react/compiler-runtime";	AutoUpdaterWrapper
components/AwsAuthStatusBox.tsx	import { c as _c } from "react/compiler-runtime";	AwsAuthStatusBox
components/BaseTextInput.tsx	import { c as _c } from "react/compiler-runtime";	BaseTextInput
components/BashModeProgress.tsx	import { c as _c } from "react/compiler-runtime";	BashModeProgress
components/BridgeDialog.tsx	import { c as _c } from "react/compiler-runtime";	BridgeDialog
components/BypassPermissionsModeDialog.tsx	import { c as _c } from "react/compiler-runtime";	BypassPermissionsModeDialog
components/ChannelDowngradeDialog.tsx	import { c as _c } from "react/compiler-runtime";	ChannelDowngradeChoice, ChannelDowngradeDialog
components/ClaudeCodeHint/PluginHintMenu.tsx	import * as React from 'react';	PluginHintMenu
components/ClaudeInChromeOnboarding.tsx	import { c as _c } from "react/compiler-runtime";	ClaudeInChromeOnboarding
components/ClaudeMdExternalIncludesDialog.tsx	import { c as _c } from "react/compiler-runtime";	ClaudeMdExternalIncludesDialog
components/ClickableImageRef.tsx	import { c as _c } from "react/compiler-runtime";	ClickableImageRef
components/CompactSummary.tsx	import { c as _c } from "react/compiler-runtime";	CompactSummary
components/ConfigurableShortcutHint.tsx	import { c as _c } from "react/compiler-runtime";	ConfigurableShortcutHint
components/ConsoleOAuthFlow.tsx	import { c as _c } from "react/compiler-runtime";	ConsoleOAuthFlow
components/ContextSuggestions.tsx	import { c as _c } from "react/compiler-runtime";	ContextSuggestions
components/ContextVisualization.tsx	import { c as _c } from "react/compiler-runtime";	ContextVisualization
components/CoordinatorAgentStatus.tsx	import { c as _c } from "react/compiler-runtime";	getVisibleAgentTasks, CoordinatorTaskPanel, useCoordinatorTaskCount
components/CostThresholdDialog.tsx	import { c as _c } from "react/compiler-runtime";	CostThresholdDialog
components/CtrlOToExpand.tsx	import { c as _c } from "react/compiler-runtime";	SubAgentProvider, CtrlOToExpand, ctrlOToExpand
components/CustomSelect/SelectMulti.tsx	import { c as _c } from "react/compiler-runtime";	SelectMultiProps, SelectMulti
components/CustomSelect/index.ts	export * from './SelectMulti.js'	
components/CustomSelect/option-map.ts	import type { ReactNode } from 'react'	OptionMap
components/CustomSelect/select-input-option.tsx	import { c as _c } from "react/compiler-runtime";	SelectInputOption
components/CustomSelect/select-option.tsx	import { c as _c } from "react/compiler-runtime";	SelectOptionProps, SelectOption
components/CustomSelect/select.tsx	import { c as _c } from "react/compiler-runtime";	OptionWithDescription, SelectProps, Select
components/CustomSelect/use-multi-select-state.ts	import { useCallback, useState } from 'react'	UseMultiSelectStateProps, MultiSelectState, useMultiSelectState
components/CustomSelect/use-select-input.ts	import { useMemo } from 'react'	UseSelectProps, useSelectInput
components/CustomSelect/use-select-navigation.ts	import {	UseSelectNavigationProps
components/CustomSelect/use-select-state.ts	import { useCallback, useState } from 'react'	UseSelectStateProps, SelectState, useSelectState
components/DesktopHandoff.tsx	import { c as _c } from "react/compiler-runtime";	getDownloadUrl, DesktopHandoff
components/DesktopUpsell/DesktopUpsellStartup.tsx	import { c as _c } from "react/compiler-runtime";	getDesktopUpsellConfig, shouldShowDesktopUpsellStartup, DesktopUpsellStartup
components/DevBar.tsx	import { c as _c } from "react/compiler-runtime";	DevBar
components/DevChannelsDialog.tsx	import { c as _c } from "react/compiler-runtime";	DevChannelsDialog
components/DiagnosticsDisplay.tsx	import { c as _c } from "react/compiler-runtime";	DiagnosticsDisplay
components/EffortCallout.tsx	import { c as _c } from "react/compiler-runtime";	EffortCallout, shouldShowEffortCallout
components/EffortIndicator.ts	import {	getEffortNotificationText, effortLevelToSymbol
